iter	RMSE
0	0.2836621201
1	0.2836598256
2	0.2836468117
3	0.2836350844
4	0.283624425
5	0.283616019
6	0.2836105732
7	0.2835986022
8	0.283591581
9	0.2835823908
10	0.2835690873
11	0.2835612712
12	0.2835542842
13	0.2835455659
14	0.2835369457
15	0.283530282
16	0.2835252482
17	0.2835194722
18	0.2835135953
19	0.2835066163
20	0.2834975413
21	0.2834927
22	0.2834873145
23	0.2834769015
24	0.2834647666
25	0.2834592827
26	0.2834571573
27	0.2834462154
28	0.2834412343
29	0.2834365185
30	0.2834254799
31	0.2834178248
32	0.283405502
33	0.2833997657
34	0.2833894489
35	0.2833868936
36	0.2833800761
37	0.283376275
38	0.2833662364
39	0.2833653239
40	0.2833607927
41	0.2833492786
42	0.2833380504
43	0.2833336119
44	0.283323741
45	0.2833181331
46	0.2833085063
47	0.2833048838
48	0.2833002311
49	0.2832936128
50	0.2832918692
51	0.2832828802
52	0.2832772118
53	0.2832720365
54	0.2832636617
55	0.2832555741
56	0.2832523681
57	0.2832468339
58	0.2832429166
59	0.2832321846
60	0.2832282923
61	0.2832222633
62	0.2832184045
63	0.2832139732
64	0.2832128762
65	0.2832054749
66	0.2832022911
67	0.2831983266
68	0.2831939389
69	0.2831889575
70	0.2831815791
71	0.283173789
72	0.2831723246
73	0.2831692342
74	0.2831630337
75	0.2831615089
76	0.2831570686
77	0.2831560784
78	0.2831506061
79	0.2831427394
80	0.2831378767
81	0.283131172
82	0.2831284391
83	0.2831228213
84	0.2831227628
85	0.283120212
86	0.2831159764
87	0.2831091039
88	0.2831032074
89	0.2830979279
90	0.2830920595
91	0.283082612
92	0.2830778637
93	0.283067949
94	0.2830614365
95	0.2830577829
96	0.2830548352
97	0.2830539993
98	0.2830483155
99	0.2830437907
100	0.2830388557
101	0.2830341907
102	0.2830317091
103	0.2830266709
104	0.2830248536
105	0.2830236866
106	0.2830191484
107	0.2830141287
108	0.2830084452
109	0.2830077211
110	0.2830030354
111	0.2829963698
112	0.2829875416
113	0.2829802458
114	0.2829729384
115	0.2829718682
116	0.2829704736
117	0.2829651753
118	0.2829632051
119	0.2829570259
120	0.282947888
121	0.2829431267
122	0.2829357588
123	0.2829298977
124	0.2829227455
125	0.2829134195
126	0.2829094808
127	0.2828996239
128	0.2828971557
129	0.2828949832
130	0.282890408
131	0.2828842061
132	0.2828809689
133	0.2828743824
134	0.2828720423
135	0.2828708862
136	0.2828640592
137	0.282859263
138	0.2828527599
139	0.2828484139
140	0.2828476217
141	0.2828399061
142	0.2828338163
143	0.2828301979
144	0.2828262003
145	0.2828202232
146	0.2828143703
147	0.2828091317
148	0.2828048564
149	0.2828026339
150	0.2828014302
151	0.2827987394
152	0.2827927344
153	0.2827884348
154	0.2827876611
155	0.2827875846
156	0.2827810258
157	0.2827767841
158	0.2827727615
159	0.2827702615
160	0.2827661053
161	0.2827587572
162	0.2827537655
163	0.2827514891
164	0.2827493698
165	0.2827449647
166	0.2827415493
167	0.2827379755
168	0.2827280299
169	0.282720383
170	0.2827157425
171	0.2827083619
172	0.282703706
173	0.282699186
174	0.2826957312
175	0.2826869543
176	0.282684939
177	0.282675791
178	0.2826697869
179	0.2826697503
180	0.2826620679
181	0.2826576353
182	0.2826555475
183	0.2826525359
184	0.2826499174
185	0.2826472655
186	0.2826414153
187	0.2826358193
188	0.2826304357
189	0.2826261359
190	0.282625868
191	0.2826224419
192	0.2826165336
193	0.2826143839
194	0.2826093134
195	0.2826018178
196	0.2825963955
197	0.2825887321
198	0.2825878908
199	0.2825857114
200	0.2825824226
201	0.2825818149
202	0.2825773029
203	0.2825706737
204	0.2825677442
205	0.2825634073
206	0.2825610927
207	0.282556149
208	0.2825529995
209	0.2825497403
210	0.2825457204
211	0.2825432008
212	0.2825425732
213	0.2825418207
214	0.2825394225
215	0.282535781
216	0.2825323875
217	0.2825285739
218	0.2825240276
219	0.2825212671
220	0.2825112146
221	0.282508292
222	0.2825040188
223	0.2825017024
224	0.2824941386
225	0.282490564
226	0.2824872327
227	0.282483532
228	0.2824802761
229	0.2824763816
230	0.2824763209
231	0.2824722687
232	0.2824696077
233	0.2824637746
234	0.2824592273
235	0.2824551651
236	0.2824521515
237	0.2824502586
238	0.2824427998
239	0.2824372189
240	0.2824324781
241	0.2824292868
242	0.2824270532
243	0.2824263664
244	0.2824250567
245	0.2824229834
246	0.2824175447
247	0.2824145162
248	0.2824106892
249	0.2824080001
250	0.2824078551
251	0.282404652
252	0.2824024974
253	0.2824000236
254	0.2823986739
255	0.2823915135
256	0.2823859829
257	0.2823857013
258	0.2823790899
259	0.2823728664
260	0.2823713555
261	0.282364747
262	0.2823611212
263	0.2823547671
264	0.2823527644
265	0.2823475373
266	0.2823468196
267	0.282341404
268	0.2823333031
269	0.2823332675
270	0.2823284553
271	0.2823181787
272	0.2823176374
273	0.2823125675
274	0.2823076375
275	0.2823039572
276	0.2823016901
277	0.2822964729
278	0.2822922525
279	0.2822840312
280	0.2822827298
281	0.282278659
282	0.282273925
283	0.2822693243
284	0.282265474
285	0.2822605472
286	0.2822563187
287	0.2822541713
288	0.282248779
289	0.2822445512
290	0.2822409099
291	0.282239751
292	0.282239659
293	0.282230743
294	0.282225507
295	0.2822251103
296	0.2822235454
297	0.2822227346
298	0.2822197777
299	0.2822162395
300	0.282216183
301	0.2822134676
302	0.2822092829
303	0.2822029449
304	0.2821969691
305	0.282192717
306	0.2821915231
307	0.2821888391
308	0.2821836971
309	0.2821801235
310	0.282177156
311	0.2821770155
312	0.2821718138
313	0.2821666951
314	0.2821639132
315	0.2821581706
316	0.2821568466
317	0.282152017
318	0.282145553
319	0.2821440802
320	0.282138409
321	0.2821360943
322	0.2821336649
323	0.2821325681
324	0.2821279223
325	0.2821251585
326	0.2821215729
327	0.2821177946
328	0.2821177257
329	0.2821167863
330	0.2821138195
331	0.2821135628
